Sample,exome_footprint,exome_mut,exome_MB,UCSF_footprint,UCSF_mut,UCSF_MB,Normal_ex,Normal_UCSF
D07_LAC03,89794688,42,0.553470568,3645616,1,0.257478,98504739,3645616
D07_LAC04,82443131,29,0.392472969,3645616,1,0.260595,98504739,3645616
D07_LAC05,85811320,176,2.051011452,3645616,7,1.55481,98504739,3645616
D07_LBK01,NA,NA,NA,3645616,24,6.1545,98504739,3645616
D07_LBK02,81694701,151,1.848345096,3645616,7,1.789,98504739,3645616
D07_LBK03,NA,NA,NA,3645616,22,4.900270584,98504739,3645616
D07_LBK04,89321376,NA,NA,3645616,2,0.452925423,98504739,3645616
D07_RBK01,NA,NA,NA,3645616,14,3.194194233,98504739,3645616
D07_RBK02,97257700,NA,NA,3645616,18,4.045066536,98504739,3645616
D07_RBK03,NA,NA,NA,3645616,46,11.38786653,98504739,3645616
D07_RFE03,NA,NA,NA,3645616,NA,NA,98504739,3645616
D07_RFE04,NA,NA,NA,3645616,NA,NA,98504739,3645616
D07_RFE05,NA,NA,NA,3645616,NA,NA,98504739,3645616
D07_RFE07,NA,NA,NA,3645616,NA,NA,98504739,3645616
D07_RFE08,NA,NA,NA,3645616,NA,NA,98504739,3645616
D07_RFE09,NA,NA,NA,3645616,NA,NA,98504739,3645616
D12_FHD01,NA,NA,NA,3851280,0,0,98738464,3851280
D12_FHD02,NA,NA,NA,3851280,12,2.465421944,98738464,3851280
D12_FHD04,NA,NA,NA,3851280,NA,NA,98738464,3851280
D12_LBK01,NA,NA,NA,3851280,1,0.204787774,98738464,3851280
D12_LBK02,NA,NA,NA,3851280,10,2.044738469,98738464,3851280
D12_LBK03,NA,NA,NA,3851280,3,0.613421541,98738464,3851280
D12_LBK04,NA,NA,NA,3851280,5,1.023865485,98738464,3851280
D12_LSN01,NA,NA,NA,3851280,NA,NA,98738464,3851280
D12_LSN02,NA,NA,NA,3851280,NA,NA,98738464,3851280
D12_LSN03,NA,NA,NA,3851280,NA,NA,98738464,3851280
D12_LSN04,NA,NA,NA,3851280,NA,NA,98738464,3851280
D12_LSR01,NA,NA,NA,3851280,NA,NA,98738464,3851280
D12_LSR02,NA,NA,NA,3851280,NA,NA,98738464,3851280
D12_LSR03,NA,NA,NA,3851280,NA,NA,98738464,3851280
D12_LSR04,NA,NA,NA,3851280,NA,NA,98738464,3851280
D12_LSR05,NA,NA,NA,3851280,15,3.06947637,98738464,3851280
D12_LTH01,98075929,NA,NA,3851280,4,0.817902412,98738464,3851280
D12_LTH02,NA,NA,NA,3851280,4,0.819903821,98738464,3851280
D12_RBK01,98355990,NA,NA,3851280,6,1.225812423,98738464,3851280
D12_RBK02,96911066,NA,NA,3851280,9,1.849920474,98738464,3851280
D12_RBK03,97245491,NA,NA,3851280,7,1.436208246,98738464,3851280
D12_RBK04,NA,NA,NA,3851280,10,2.046496398,98738464,3851280
D12_RSN01,NA,NA,NA,3851280,18,4.435335033,98738464,3851280
D12_RSN02,NA,NA,NA,3851280,20,5.083717387,98738464,3851280
D12_RSN03,NA,NA,NA,3851280,16,4.109395182,98738464,3851280
D12_RSN04,NA,NA,NA,3851280,5,1.268601826,98738464,3851280
D12_RSR01,NA,NA,NA,3851280,NA,NA,98738464,3851280
D12_RSR02,NA,NA,NA,3851280,NA,NA,98738464,3851280
D12_RSR03,NA,NA,NA,3851280,NA,NA,98738464,3851280
D12_RSR04,NA,NA,NA,3851280,NA,NA,98738464,3851280
